year,region,e_Jul
1940,Brest,100.289
1940,Gomel,98.411
1940,Grodno,97.026
1940,Minsk,95.292
1940,Mogilev,97.598
1940,Vitebsk,99.147
1941,Brest,107.142
1941,Gomel,105.835
1941,Grodno,100.808
1941,Minsk,107.596
1941,Mogilev,107.856
1941,Vitebsk,105.105
1942,Brest,105.150
1942,Gomel,106.187
1942,Grodno,96.616
1942,Minsk,103.677
1942,Mogilev,101.745
1942,Vitebsk,104.759
1943,Brest,97.316
1943,Gomel,98.328
1943,Grodno,94.540
1943,Minsk,97.162
1943,Mogilev,97.660
1943,Vitebsk,96.463
1944,Brest,104.328
1944,Gomel,100.949
1944,Grodno,99.327
1944,Minsk,104.967
1944,Mogilev,104.959
1944,Vitebsk,101.164
1945,Brest,107.149
1945,Gomel,110.905
1945,Grodno,102.834
1945,Minsk,108.236
1945,Mogilev,109.625
1945,Vitebsk,102.932
1946,Brest,109.845
1946,Gomel,107.584
1946,Grodno,106.783
1946,Minsk,111.840
1946,Mogilev,109.323
1946,Vitebsk,106.087
1947,Brest,109.684
1947,Gomel,103.672
1947,Grodno,103.305
1947,Minsk,105.362
1947,Mogilev,110.146
1947,Vitebsk,102.536
1948,Brest,104.207
1948,Gomel,108.582
1948,Grodno,100.982
1948,Minsk,106.723
1948,Mogilev,108.659
1948,Vitebsk,105.914
1949,Brest,97.367
1949,Gomel,104.013
1949,Grodno,95.977
1949,Minsk,100.420
1949,Mogilev,101.702
1949,Vitebsk,98.823
1950,Brest,89.522
1950,Gomel,95.449
1950,Grodno,89.035
1950,Minsk,95.310
1950,Mogilev,96.245
1950,Vitebsk,96.225
1951,Brest,99.314
1951,Gomel,106.245
1951,Grodno,93.311
1951,Minsk,100.020
1951,Mogilev,103.896
1951,Vitebsk,102.193
1952,Brest,90.351
1952,Gomel,108.604
1952,Grodno,94.774
1952,Minsk,99.135
1952,Mogilev,106.848
1952,Vitebsk,104.451
1953,Brest,104.558
1953,Gomel,127.640
1953,Grodno,99.326
1953,Minsk,109.753
1953,Mogilev,118.397
1953,Vitebsk,107.277
1954,Brest,96.376
1954,Gomel,105.617
1954,Grodno,92.463
1954,Minsk,98.615
1954,Mogilev,100.543
1954,Vitebsk,92.712
1955,Brest,111.369
1955,Gomel,107.997
1955,Grodno,102.185
1955,Minsk,103.793
1955,Mogilev,101.709
1955,Vitebsk,92.916
1956,Brest,104.398
1956,Gomel,108.331
1956,Grodno,98.015
1956,Minsk,101.170
1956,Mogilev,105.378
1956,Vitebsk,98.230
1957,Brest,96.439
1957,Gomel,100.609
1957,Grodno,98.258
1957,Minsk,100.466
1957,Mogilev,94.897
1957,Vitebsk,96.351
1958,Brest,111.946
1958,Gomel,110.081
1958,Grodno,108.060
1958,Minsk,108.036
1958,Mogilev,103.055
1958,Vitebsk,100.725
1959,Brest,107.251
1959,Gomel,98.032
1959,Grodno,104.303
1959,Minsk,91.398
1959,Mogilev,88.898
1959,Vitebsk,96.620
1960,Brest,98.775
1960,Gomel,97.061
1960,Grodno,101.034
1960,Minsk,105.475
1960,Mogilev,110.805
1960,Vitebsk,110.762
1961,Brest,84.590
1961,Gomel,100.864
1961,Grodno,83.668
1961,Minsk,86.110
1961,Mogilev,97.707
1961,Vitebsk,91.258
1962,Brest,99.327
1962,Gomel,98.489
1962,Grodno,94.844
1962,Minsk,97.367
1962,Mogilev,91.031
1962,Vitebsk,92.734
1963,Brest,92.214
1963,Gomel,89.667
1963,Grodno,99.884
1963,Minsk,89.011
1963,Mogilev,95.824
1963,Vitebsk,96.943
1964,Brest,75.207
1964,Gomel,103.078
1964,Grodno,76.414
1964,Minsk,94.372
1964,Mogilev,98.999
1964,Vitebsk,88.796
1965,Brest,102.902
1965,Gomel,94.410
1965,Grodno,98.482
1965,Minsk,99.679
1965,Mogilev,97.436
1965,Vitebsk,98.227
1966,Brest,94.310
1966,Gomel,98.158
1966,Grodno,99.781
1966,Minsk,91.470
1966,Mogilev,98.089
1966,Vitebsk,94.676
1967,Brest,94.718
1967,Gomel,96.028
1967,Grodno,90.133
1967,Minsk,86.187
1967,Mogilev,87.308
1967,Vitebsk,85.715
1968,Brest,93.001
1968,Gomel,99.322
1968,Grodno,88.578
1968,Minsk,91.093
1968,Mogilev,93.199
1968,Vitebsk,91.733
1969,Brest,95.131
1969,Gomel,107.648
1969,Grodno,98.493
1969,Minsk,107.619
1969,Mogilev,107.982
1969,Vitebsk,102.893
1970,Brest,98.151
1970,Gomel,101.855
1970,Grodno,91.020
1970,Minsk,97.687
1970,Mogilev,95.439
1970,Vitebsk,98.476
1971,Brest,93.376
1971,Gomel,97.327
1971,Grodno,91.081
1971,Minsk,76.113
1971,Mogilev,93.938
1971,Vitebsk,93.153
1972,Brest,93.244
1972,Gomel,105.152
1972,Grodno,90.834
1972,Minsk,94.020
1972,Mogilev,104.978
1972,Vitebsk,95.967
1973,Brest,95.981
1973,Gomel,87.050
1973,Grodno,92.675
1973,Minsk,99.621
1973,Mogilev,100.075
1973,Vitebsk,97.327
1974,Brest,89.723
1974,Gomel,100.148
1974,Grodno,85.365
1974,Minsk,92.483
1974,Mogilev,95.275
1974,Vitebsk,91.552
1975,Brest,103.751
1975,Gomel,99.873
1975,Grodno,97.994
1975,Minsk,103.691
1975,Mogilev,97.549
1975,Vitebsk,97.337
1976,Brest,87.503
1976,Gomel,83.246
1976,Grodno,89.251
1976,Minsk,86.307
1976,Mogilev,90.416
1976,Vitebsk,91.726
1977,Brest,92.678
1977,Gomel,97.162
1977,Grodno,83.242
1977,Minsk,85.794
1977,Mogilev,86.873
1977,Vitebsk,83.076
1978,Brest,93.439
1978,Gomel,98.712
1978,Grodno,91.313
1978,Minsk,97.024
1978,Mogilev,97.822
1978,Vitebsk,93.801
1979,Brest,84.291
1979,Gomel,84.429
1979,Grodno,75.687
1979,Minsk,79.824
1979,Mogilev,79.999
1979,Vitebsk,82.583
1980,Brest,85.641
1980,Gomel,103.691
1980,Grodno,80.628
1980,Minsk,89.906
1980,Mogilev,99.123
1980,Vitebsk,88.384
1981,Brest,98.841
1981,Gomel,104.446
1981,Grodno,92.954
1981,Minsk,101.452
1981,Mogilev,98.762
1981,Vitebsk,102.650
1982,Brest,97.471
1982,Gomel,98.218
1982,Grodno,95.246
1982,Minsk,100.357
1982,Mogilev,96.188
1982,Vitebsk,94.468
1983,Brest,90.628
1983,Gomel,87.841
1983,Grodno,88.822
1983,Minsk,82.869
1983,Mogilev,91.603
1983,Vitebsk,88.524
1984,Brest,94.464
1984,Gomel,96.773
1984,Grodno,88.228
1984,Minsk,88.475
1984,Mogilev,93.159
1984,Vitebsk,87.930
1985,Brest,98.787
1985,Gomel,100.137
1985,Grodno,90.455
1985,Minsk,94.657
1985,Mogilev,94.449
1985,Vitebsk,89.873
1986,Brest,93.398
1986,Gomel,95.481
1986,Grodno,90.275
1986,Minsk,88.528
1986,Mogilev,95.529
1986,Vitebsk,93.488
1987,Brest,99.241
1987,Gomel,96.634
1987,Grodno,101.783
1987,Minsk,100.915
1987,Mogilev,99.727
1987,Vitebsk,96.675
1988,Brest,112.423
1988,Gomel,112.624
1988,Grodno,102.632
1988,Minsk,109.188
1988,Mogilev,108.788
1988,Vitebsk,105.387
1989,Brest,93.377
1989,Gomel,93.979
1989,Grodno,102.503
1989,Minsk,96.441
1989,Mogilev,105.055
1989,Vitebsk,106.030
1990,Brest,86.123
1990,Gomel,94.329
1990,Grodno,78.235
1990,Minsk,76.909
1990,Mogilev,86.434
1990,Vitebsk,76.771
1991,Brest,101.521
1991,Gomel,116.321
1991,Grodno,96.782
1991,Minsk,106.680
1991,Mogilev,117.140
1991,Vitebsk,105.823
1992,Brest,100.613
1992,Gomel,92.011
1992,Grodno,77.785
1992,Minsk,79.050
1992,Mogilev,85.033
1992,Vitebsk,84.038
1993,Brest,94.654
1993,Gomel,95.715
1993,Grodno,91.465
1993,Minsk,94.001
1993,Mogilev,90.076
1993,Vitebsk,89.625
1994,Brest,86.481
1994,Gomel,93.523
1994,Grodno,84.192
1994,Minsk,94.030
1994,Mogilev,97.658
1994,Vitebsk,99.784
1995,Brest,104.234
1995,Gomel,89.394
1995,Grodno,103.451
1995,Minsk,90.379
1995,Mogilev,101.864
1995,Vitebsk,103.289
1996,Brest,94.027
1996,Gomel,96.464
1996,Grodno,97.146
1996,Minsk,99.984
1996,Mogilev,98.204
1996,Vitebsk,95.567
1997,Brest,95.420
1997,Gomel,97.453
1997,Grodno,100.165
1997,Minsk,102.410
1997,Mogilev,104.371
1997,Vitebsk,106.460
1998,Brest,97.874
1998,Gomel,105.824
1998,Grodno,96.157
1998,Minsk,100.589
1998,Mogilev,104.026
1998,Vitebsk,99.236
1999,Brest,102.344
1999,Gomel,106.039
1999,Grodno,99.352
1999,Minsk,89.284
1999,Mogilev,100.829
1999,Vitebsk,95.392
2000,Brest,92.697
2000,Gomel,99.861
2000,Grodno,87.821
2000,Minsk,89.544
2000,Mogilev,95.133
2000,Vitebsk,86.478
2001,Brest,104.146
2001,Gomel,119.495
2001,Grodno,103.745
2001,Minsk,118.330
2001,Mogilev,116.564
2001,Vitebsk,116.219
2002,Brest,106.556
2002,Gomel,90.392
2002,Grodno,96.839
2002,Minsk,104.681
2002,Mogilev,105.913
2002,Vitebsk,105.348
2003,Brest,105.676
2003,Gomel,91.043
2003,Grodno,96.492
2003,Minsk,101.042
2003,Mogilev,87.397
2003,Vitebsk,97.218
2004,Brest,100.920
2004,Gomel,99.210
2004,Grodno,99.138
2004,Minsk,102.967
2004,Mogilev,98.705
2004,Vitebsk,93.217
2005,Brest,82.818
2005,Gomel,85.494
2005,Grodno,91.253
2005,Minsk,93.530
2005,Mogilev,110.981
2005,Vitebsk,102.777
2006,Brest,83.727
2006,Gomel,107.786
2006,Grodno,100.764
2006,Minsk,92.397
2006,Mogilev,92.437
2006,Vitebsk,96.370
2007,Brest,111.717
2007,Gomel,113.043
2007,Grodno,107.352
2007,Minsk,103.222
2007,Mogilev,100.552
2007,Vitebsk,93.205
2008,Brest,102.071
2008,Gomel,107.925
2008,Grodno,100.152
2008,Minsk,102.728
2008,Mogilev,104.818
2008,Vitebsk,102.459
2009,Brest,112.806
2009,Gomel,107.964
2009,Grodno,105.100
2009,Minsk,112.093
2009,Mogilev,112.087
2009,Vitebsk,104.055
2010,Brest,101.385
2010,Gomel,107.007
2010,Grodno,114.850
2010,Minsk,118.760
2010,Mogilev,118.686
2010,Vitebsk,118.706
2011,Brest,103.477
2011,Gomel,117.105
2011,Grodno,99.061
2011,Minsk,108.447
2011,Mogilev,116.841
2011,Vitebsk,106.034
2012,Brest,88.092
2012,Gomel,120.173
2012,Grodno,101.226
2012,Minsk,110.093
2012,Mogilev,126.539
2012,Vitebsk,113.858
2013,Brest,99.064
2013,Gomel,100.587
2013,Grodno,95.733
2013,Minsk,100.435
2013,Mogilev,97.122
2013,Vitebsk,96.873
2014,Brest,105.098
2014,Gomel,111.638
2014,Grodno,112.689
2014,Minsk,109.682
2014,Mogilev,109.296
2014,Vitebsk,113.718
2015,Brest,85.106
2015,Gomel,88.083
2015,Grodno,93.466
2015,Minsk,92.309
2015,Mogilev,89.502
2015,Vitebsk,92.194
2016,Brest,97.766
2016,Gomel,102.054
2016,Grodno,95.354
2016,Minsk,100.043
2016,Mogilev,109.486
2016,Vitebsk,102.751
2017,Brest,104.307
2017,Gomel,92.333
2017,Grodno,99.814
2017,Minsk,102.394
2017,Mogilev,100.693
2017,Vitebsk,95.047
2018,Brest,99.137
2018,Gomel,100.566
2018,Grodno,96.968
2018,Minsk,99.169
2018,Mogilev,102.132
2018,Vitebsk,95.453
2019,Brest,99.142
2019,Gomel,95.593
2019,Grodno,89.079
2019,Minsk,95.964
2019,Mogilev,99.098
2019,Vitebsk,96.298
2020,Brest,105.936
2020,Gomel,95.595
2020,Grodno,85.056
2020,Minsk,103.027
2020,Mogilev,110.759
2020,Vitebsk,97.477
2021,Brest,108.635
2021,Gomel,105.609
2021,Grodno,117.537
2021,Minsk,109.103
2021,Mogilev,100.628
2021,Vitebsk,106.365
2022,Brest,99.412
2022,Gomel,96.811
2022,Grodno,106.143
2022,Minsk,103.181
2022,Mogilev,105.770
2022,Vitebsk,101.377
