year,region,tp_Jan
1955,Brest,34.806
1955,Gomel,47.782
1955,Grodno,36.362
1955,Minsk,42.137
1955,Mogilev,52.379
1955,Vitebsk,32.061
1956,Brest,28.414
1956,Gomel,29.716
1956,Grodno,39.528
1956,Minsk,37.256
1956,Mogilev,36.755
1956,Vitebsk,45.284
1957,Brest,28.962
1957,Gomel,23.475
1957,Grodno,34.064
1957,Minsk,31.964
1957,Mogilev,28.944
1957,Vitebsk,30.474
1958,Brest,49.279
1958,Gomel,45.709
1958,Grodno,51.330
1958,Minsk,64.991
1958,Mogilev,55.407
1958,Vitebsk,64.003
1959,Brest,39.903
1959,Gomel,41.648
1959,Grodno,44.278
1959,Minsk,62.815
1959,Mogilev,45.636
1959,Vitebsk,56.931
1960,Brest,30.236
1960,Gomel,32.182
1960,Grodno,41.361
1960,Minsk,42.823
1960,Mogilev,35.375
1960,Vitebsk,33.856
1961,Brest,22.742
1961,Gomel,23.575
1961,Grodno,29.117
1961,Minsk,23.338
1961,Mogilev,27.421
1961,Vitebsk,24.528
1962,Brest,30.434
1962,Gomel,25.901
1962,Grodno,32.410
1962,Minsk,28.866
1962,Mogilev,23.717
1962,Vitebsk,28.793
1963,Brest,16.676
1963,Gomel,24.265
1963,Grodno,18.552
1963,Minsk,19.367
1963,Mogilev,20.863
1963,Vitebsk,22.838
1964,Brest,13.608
1964,Gomel,13.607
1964,Grodno,13.609
1964,Minsk,13.609
1964,Mogilev,13.606
1964,Vitebsk,13.607
1965,Brest,47.322
1965,Gomel,48.382
1965,Grodno,49.850
1965,Minsk,53.219
1965,Mogilev,50.474
1965,Vitebsk,48.827
1966,Brest,64.865
1966,Gomel,75.650
1966,Grodno,58.162
1966,Minsk,63.935
1966,Mogilev,56.839
1966,Vitebsk,67.493
1967,Brest,35.928
1967,Gomel,44.287
1967,Grodno,40.778
1967,Minsk,33.748
1967,Mogilev,40.787
1967,Vitebsk,37.769
1968,Brest,46.164
1968,Gomel,51.695
1968,Grodno,39.439
1968,Minsk,44.091
1968,Mogilev,45.980
1968,Vitebsk,35.205
1969,Brest,13.129
1969,Gomel,26.278
1969,Grodno,16.662
1969,Minsk,16.576
1969,Mogilev,28.441
1969,Vitebsk,20.108
1970,Brest,73.148
1970,Gomel,66.298
1970,Grodno,67.866
1970,Minsk,61.179
1970,Mogilev,59.133
1970,Vitebsk,52.021
1971,Brest,24.184
1971,Gomel,36.167
1971,Grodno,22.782
1971,Minsk,23.256
1971,Mogilev,33.565
1971,Vitebsk,24.504
1972,Brest,31.127
1972,Gomel,20.336
1972,Grodno,18.442
1972,Minsk,25.141
1972,Mogilev,10.952
1972,Vitebsk,15.923
1973,Brest,10.806
1973,Gomel,13.720
1973,Grodno,15.048
1973,Minsk,12.736
1973,Mogilev,11.832
1973,Vitebsk,13.038
1974,Brest,12.527
1974,Gomel,13.608
1974,Grodno,14.456
1974,Minsk,17.198
1974,Mogilev,12.847
1974,Vitebsk,19.505
1975,Brest,25.297
1975,Gomel,31.934
1975,Grodno,36.996
1975,Minsk,36.722
1975,Mogilev,41.012
1975,Vitebsk,46.294
1976,Brest,61.043
1976,Gomel,58.238
1976,Grodno,52.210
1976,Minsk,52.855
1976,Mogilev,38.984
1976,Vitebsk,46.763
1977,Brest,14.800
1977,Gomel,24.843
1977,Grodno,14.487
1977,Minsk,16.642
1977,Mogilev,23.935
1977,Vitebsk,15.535
1978,Brest,38.284
1978,Gomel,23.059
1978,Grodno,32.803
1978,Minsk,30.151
1978,Mogilev,20.704
1978,Vitebsk,29.284
1979,Brest,94.715
1979,Gomel,71.445
1979,Grodno,70.851
1979,Minsk,75.486
1979,Mogilev,74.166
1979,Vitebsk,65.498
1980,Brest,28.658
1980,Gomel,44.864
1980,Grodno,42.419
1980,Minsk,42.785
1980,Mogilev,43.737
1980,Vitebsk,42.376
1981,Brest,33.627
1981,Gomel,31.897
1981,Grodno,33.843
1981,Minsk,35.925
1981,Mogilev,34.276
1981,Vitebsk,37.157
1982,Brest,36.711
1982,Gomel,30.856
1982,Grodno,49.598
1982,Minsk,43.933
1982,Mogilev,38.122
1982,Vitebsk,46.481
1983,Brest,50.330
1983,Gomel,49.488
1983,Grodno,65.475
1983,Minsk,55.326
1983,Mogilev,53.301
1983,Vitebsk,60.337
1984,Brest,45.489
1984,Gomel,35.742
1984,Grodno,45.226
1984,Minsk,48.160
1984,Mogilev,40.197
1984,Vitebsk,56.039
1985,Brest,29.929
1985,Gomel,48.634
1985,Grodno,33.683
1985,Minsk,34.654
1985,Mogilev,51.114
1985,Vitebsk,47.301
1986,Brest,70.194
1986,Gomel,52.254
1986,Grodno,81.534
1986,Minsk,65.745
1986,Mogilev,54.740
1986,Vitebsk,74.344
1987,Brest,34.564
1987,Gomel,42.100
1987,Grodno,30.316
1987,Minsk,36.348
1987,Mogilev,35.999
1987,Vitebsk,39.201
1988,Brest,30.266
1988,Gomel,22.663
1988,Grodno,31.667
1988,Minsk,23.968
1988,Mogilev,23.294
1988,Vitebsk,20.715
1989,Brest,22.138
1989,Gomel,27.577
1989,Grodno,29.931
1989,Minsk,30.508
1989,Mogilev,29.659
1989,Vitebsk,40.577
1990,Brest,25.799
1990,Gomel,35.666
1990,Grodno,39.377
1990,Minsk,41.017
1990,Mogilev,41.796
1990,Vitebsk,59.064
1991,Brest,21.713
1991,Gomel,19.526
1991,Grodno,29.170
1991,Minsk,25.539
1991,Mogilev,20.368
1991,Vitebsk,34.369
1992,Brest,19.332
1992,Gomel,23.493
1992,Grodno,29.881
1992,Minsk,28.929
1992,Mogilev,25.897
1992,Vitebsk,43.604
1993,Brest,52.999
1993,Gomel,49.621
1993,Grodno,61.001
1993,Minsk,51.719
1993,Mogilev,50.017
1993,Vitebsk,54.220
1994,Brest,53.681
1994,Gomel,48.943
1994,Grodno,72.437
1994,Minsk,74.576
1994,Mogilev,56.433
1994,Vitebsk,65.235
1995,Brest,27.558
1995,Gomel,28.973
1995,Grodno,35.622
1995,Minsk,30.538
1995,Mogilev,31.098
1995,Vitebsk,43.550
1996,Brest,26.987
1996,Gomel,24.436
1996,Grodno,28.573
1996,Minsk,45.330
1996,Mogilev,18.956
1996,Vitebsk,24.924
1997,Brest,8.417
1997,Gomel,10.628
1997,Grodno,18.089
1997,Minsk,14.031
1997,Mogilev,17.296
1997,Vitebsk,28.010
1998,Brest,24.182
1998,Gomel,32.223
1998,Grodno,41.571
1998,Minsk,37.235
1998,Mogilev,37.391
1998,Vitebsk,46.900
1999,Brest,17.889
1999,Gomel,18.159
1999,Grodno,23.588
1999,Minsk,20.517
1999,Mogilev,20.847
1999,Vitebsk,40.701
2000,Brest,38.768
2000,Gomel,34.292
2000,Grodno,41.881
2000,Minsk,37.495
2000,Mogilev,26.938
2000,Vitebsk,36.113
2001,Brest,46.830
2001,Gomel,45.779
2001,Grodno,42.360
2001,Minsk,48.737
2001,Mogilev,41.468
2001,Vitebsk,36.692
2002,Brest,39.248
2002,Gomel,33.817
2002,Grodno,52.212
2002,Minsk,49.734
2002,Mogilev,34.116
2002,Vitebsk,54.393
2003,Brest,30.431
2003,Gomel,26.501
2003,Grodno,34.903
2003,Minsk,32.770
2003,Mogilev,30.053
2003,Vitebsk,36.669
2004,Brest,41.608
2004,Gomel,64.538
2004,Grodno,61.486
2004,Minsk,75.364
2004,Mogilev,80.391
2004,Vitebsk,84.305
2005,Brest,38.855
2005,Gomel,44.698
2005,Grodno,45.284
2005,Minsk,39.914
2005,Mogilev,38.949
2005,Vitebsk,42.659
2006,Brest,8.645
2006,Gomel,12.906
2006,Grodno,7.625
2006,Minsk,6.833
2006,Mogilev,9.977
2006,Vitebsk,7.015
2007,Brest,76.197
2007,Gomel,66.565
2007,Grodno,90.615
2007,Minsk,76.433
2007,Mogilev,69.678
2007,Vitebsk,81.489
2008,Brest,60.542
2008,Gomel,47.025
2008,Grodno,54.241
2008,Minsk,42.397
2008,Mogilev,31.131
2008,Vitebsk,34.140
2009,Brest,34.212
2009,Gomel,43.078
2009,Grodno,40.684
2009,Minsk,45.795
2009,Mogilev,45.979
2009,Vitebsk,53.953
2010,Brest,36.917
2010,Gomel,28.052
2010,Grodno,28.152
2010,Minsk,28.350
2010,Mogilev,25.560
2010,Vitebsk,19.025
2011,Brest,36.599
2011,Gomel,32.027
2011,Grodno,42.843
2011,Minsk,42.926
2011,Mogilev,41.908
2011,Vitebsk,63.907
2012,Brest,48.798
2012,Gomel,59.585
2012,Grodno,62.037
2012,Minsk,65.405
2012,Mogilev,57.992
2012,Vitebsk,63.472
2013,Brest,60.244
2013,Gomel,46.005
2013,Grodno,51.182
2013,Minsk,48.207
2013,Mogilev,34.206
2013,Vitebsk,36.712
2014,Brest,46.819
2014,Gomel,48.492
2014,Grodno,47.638
2014,Minsk,46.291
2014,Mogilev,47.491
2014,Vitebsk,43.522
2015,Brest,42.770
2015,Gomel,50.813
2015,Grodno,49.552
2015,Minsk,55.185
2015,Mogilev,60.219
2015,Vitebsk,61.090
2016,Brest,51.195
2016,Gomel,50.321
2016,Grodno,42.855
2016,Minsk,52.951
2016,Mogilev,51.732
2016,Vitebsk,59.299
2017,Brest,27.070
2017,Gomel,39.436
2017,Grodno,34.880
2017,Minsk,39.373
2017,Mogilev,40.619
2017,Vitebsk,45.678
2018,Brest,31.769
2018,Gomel,40.728
2018,Grodno,36.295
2018,Minsk,41.589
2018,Mogilev,41.883
2018,Vitebsk,53.847
2019,Brest,33.396
2019,Gomel,53.933
2019,Grodno,45.041
2019,Minsk,46.898
2019,Mogilev,53.522
2019,Vitebsk,51.536
2020,Brest,24.766
2020,Gomel,30.042
2020,Grodno,39.226
2020,Minsk,36.436
2020,Mogilev,38.037
2020,Vitebsk,38.954
