year,region,tp_Jul
1955,Brest,156.142
1955,Gomel,69.539
1955,Grodno,138.760
1955,Minsk,108.883
1955,Mogilev,78.265
1955,Vitebsk,85.194
1956,Brest,76.542
1956,Gomel,103.418
1956,Grodno,82.629
1956,Minsk,76.775
1956,Mogilev,92.753
1956,Vitebsk,62.798
1957,Brest,83.561
1957,Gomel,71.875
1957,Grodno,84.213
1957,Minsk,77.176
1957,Mogilev,90.561
1957,Vitebsk,82.426
1958,Brest,66.019
1958,Gomel,68.444
1958,Grodno,81.046
1958,Minsk,82.848
1958,Mogilev,93.259
1958,Vitebsk,69.585
1959,Brest,54.165
1959,Gomel,38.040
1959,Grodno,60.525
1959,Minsk,52.585
1959,Mogilev,42.066
1959,Vitebsk,26.532
1960,Brest,116.546
1960,Gomel,45.791
1960,Grodno,127.945
1960,Minsk,107.178
1960,Mogilev,82.020
1960,Vitebsk,121.541
1961,Brest,44.603
1961,Gomel,39.095
1961,Grodno,61.980
1961,Minsk,48.604
1961,Mogilev,69.037
1961,Vitebsk,102.150
1962,Brest,62.789
1962,Gomel,127.705
1962,Grodno,90.517
1962,Minsk,105.704
1962,Mogilev,169.382
1962,Vitebsk,154.809
1963,Brest,43.185
1963,Gomel,35.851
1963,Grodno,43.791
1963,Minsk,43.241
1963,Mogilev,47.193
1963,Vitebsk,51.324
1964,Brest,61.557
1964,Gomel,98.692
1964,Grodno,44.542
1964,Minsk,75.719
1964,Mogilev,87.017
1964,Vitebsk,60.750
1965,Brest,68.573
1965,Gomel,98.482
1965,Grodno,63.069
1965,Minsk,56.026
1965,Mogilev,60.014
1965,Vitebsk,57.771
1966,Brest,90.605
1966,Gomel,90.628
1966,Grodno,90.578
1966,Minsk,90.601
1966,Mogilev,90.651
1966,Vitebsk,90.650
1967,Brest,48.536
1967,Gomel,41.672
1967,Grodno,52.444
1967,Minsk,56.258
1967,Mogilev,48.635
1967,Vitebsk,40.724
1968,Brest,83.842
1968,Gomel,103.410
1968,Grodno,45.163
1968,Minsk,54.074
1968,Mogilev,80.591
1968,Vitebsk,72.986
1969,Brest,28.323
1969,Gomel,86.150
1969,Grodno,34.288
1969,Minsk,42.850
1969,Mogilev,92.964
1969,Vitebsk,64.617
1970,Brest,91.074
1970,Gomel,63.708
1970,Grodno,86.134
1970,Minsk,80.961
1970,Mogilev,60.274
1970,Vitebsk,87.581
1971,Brest,40.115
1971,Gomel,63.160
1971,Grodno,28.215
1971,Minsk,30.014
1971,Mogilev,45.947
1971,Vitebsk,41.502
1972,Brest,89.391
1972,Gomel,67.010
1972,Grodno,85.497
1972,Minsk,107.155
1972,Mogilev,77.164
1972,Vitebsk,78.193
1973,Brest,134.678
1973,Gomel,113.687
1973,Grodno,126.631
1973,Minsk,147.910
1973,Mogilev,131.872
1973,Vitebsk,115.927
1974,Brest,120.250
1974,Gomel,144.344
1974,Grodno,147.483
1974,Minsk,128.006
1974,Mogilev,150.344
1974,Vitebsk,115.406
1975,Brest,76.363
1975,Gomel,43.052
1975,Grodno,74.584
1975,Minsk,46.093
1975,Mogilev,52.072
1975,Vitebsk,48.703
1976,Brest,53.996
1976,Gomel,54.020
1976,Grodno,53.983
1976,Minsk,53.987
1976,Mogilev,54.017
1976,Vitebsk,53.995
1977,Brest,114.189
1977,Gomel,128.950
1977,Grodno,159.889
1977,Minsk,174.297
1977,Mogilev,131.056
1977,Vitebsk,174.918
1978,Brest,76.247
1978,Gomel,83.264
1978,Grodno,80.114
1978,Minsk,91.471
1978,Mogilev,65.558
1978,Vitebsk,71.003
1979,Brest,60.709
1979,Gomel,72.825
1979,Grodno,75.497
1979,Minsk,79.295
1979,Mogilev,86.394
1979,Vitebsk,115.929
1980,Brest,156.034
1980,Gomel,117.886
1980,Grodno,169.139
1980,Minsk,125.285
1980,Mogilev,112.145
1980,Vitebsk,123.040
1981,Brest,81.512
1981,Gomel,85.537
1981,Grodno,76.306
1981,Minsk,66.940
1981,Mogilev,53.585
1981,Vitebsk,62.349
1982,Brest,65.801
1982,Gomel,103.709
1982,Grodno,60.205
1982,Minsk,79.438
1982,Mogilev,105.944
1982,Vitebsk,83.463
1983,Brest,73.177
1983,Gomel,73.177
1983,Grodno,73.177
1983,Minsk,73.177
1983,Mogilev,73.177
1983,Vitebsk,73.177
1984,Brest,64.922
1984,Gomel,76.795
1984,Grodno,75.344
1984,Minsk,56.170
1984,Mogilev,74.064
1984,Vitebsk,65.112
1985,Brest,64.877
1985,Gomel,82.742
1985,Grodno,70.081
1985,Minsk,66.170
1985,Mogilev,76.028
1985,Vitebsk,89.968
1986,Brest,66.076
1986,Gomel,79.641
1986,Grodno,71.139
1986,Minsk,77.160
1986,Mogilev,80.300
1986,Vitebsk,79.056
1987,Brest,59.083
1987,Gomel,38.465
1987,Grodno,80.786
1987,Minsk,67.509
1987,Mogilev,41.111
1987,Vitebsk,68.221
1988,Brest,75.876
1988,Gomel,66.744
1988,Grodno,80.287
1988,Minsk,63.099
1988,Mogilev,69.734
1988,Vitebsk,92.293
1989,Brest,75.754
1989,Gomel,75.754
1989,Grodno,75.754
1989,Minsk,75.754
1989,Mogilev,75.754
1989,Vitebsk,75.754
1990,Brest,123.520
1990,Gomel,153.271
1990,Grodno,141.748
1990,Minsk,144.955
1990,Mogilev,144.287
1990,Vitebsk,150.606
1991,Brest,82.417
1991,Gomel,67.698
1991,Grodno,58.614
1991,Minsk,63.143
1991,Mogilev,66.932
1991,Vitebsk,73.553
1992,Brest,40.873
1992,Gomel,31.939
1992,Grodno,35.478
1992,Minsk,22.436
1992,Mogilev,22.271
1992,Vitebsk,38.091
1993,Brest,149.257
1993,Gomel,167.513
1993,Grodno,165.546
1993,Minsk,170.665
1993,Mogilev,134.332
1993,Vitebsk,138.983
1994,Brest,7.962
1994,Gomel,28.219
1994,Grodno,5.393
1994,Minsk,7.118
1994,Mogilev,17.359
1994,Vitebsk,12.746
1995,Brest,43.917
1995,Gomel,45.242
1995,Grodno,51.160
1995,Minsk,43.907
1995,Mogilev,43.121
1995,Vitebsk,57.803
1996,Brest,90.249
1996,Gomel,90.249
1996,Grodno,90.249
1996,Minsk,90.249
1996,Mogilev,90.249
1996,Vitebsk,90.249
1997,Brest,134.130
1997,Gomel,108.422
1997,Grodno,77.668
1997,Minsk,85.089
1997,Mogilev,96.978
1997,Vitebsk,62.047
1998,Brest,119.789
1998,Gomel,138.916
1998,Grodno,115.532
1998,Minsk,136.359
1998,Mogilev,147.873
1998,Vitebsk,121.666
1999,Brest,67.325
1999,Gomel,88.669
1999,Grodno,53.772
1999,Minsk,47.250
1999,Mogilev,75.444
1999,Vitebsk,39.251
2000,Brest,152.698
2000,Gomel,157.903
2000,Grodno,160.663
2000,Minsk,135.537
2000,Mogilev,195.435
2000,Vitebsk,178.603
2001,Brest,129.309
2001,Gomel,79.526
2001,Grodno,114.247
2001,Minsk,114.675
2001,Mogilev,81.597
2001,Vitebsk,104.201
2002,Brest,53.083
2002,Gomel,57.325
2002,Grodno,38.434
2002,Minsk,49.831
2002,Mogilev,80.261
2002,Vitebsk,34.348
2003,Brest,115.760
2003,Gomel,86.795
2003,Grodno,104.599
2003,Minsk,139.539
2003,Mogilev,89.992
2003,Vitebsk,93.354
2004,Brest,81.121
2004,Gomel,101.000
2004,Grodno,62.677
2004,Minsk,80.815
2004,Mogilev,69.448
2004,Vitebsk,69.595
2005,Brest,59.470
2005,Gomel,80.655
2005,Grodno,57.701
2005,Minsk,56.964
2005,Mogilev,73.792
2005,Vitebsk,53.768
2006,Brest,61.867
2006,Gomel,71.716
2006,Grodno,45.381
2006,Minsk,60.816
2006,Mogilev,69.018
2006,Vitebsk,59.094
2007,Brest,193.735
2007,Gomel,168.448
2007,Grodno,173.620
2007,Minsk,121.177
2007,Mogilev,132.680
2007,Vitebsk,112.711
2008,Brest,108.709
2008,Gomel,102.240
2008,Grodno,93.933
2008,Minsk,99.938
2008,Mogilev,71.070
2008,Vitebsk,98.883
2009,Brest,92.535
2009,Gomel,152.204
2009,Grodno,109.416
2009,Minsk,111.828
2009,Mogilev,145.115
2009,Vitebsk,104.220
2010,Brest,85.622
2010,Gomel,78.548
2010,Grodno,104.321
2010,Minsk,85.920
2010,Mogilev,62.782
2010,Vitebsk,63.064
2011,Brest,159.048
2011,Gomel,146.102
2011,Grodno,138.134
2011,Minsk,131.421
2011,Mogilev,113.891
2011,Vitebsk,92.362
2012,Brest,53.936
2012,Gomel,63.912
2012,Grodno,56.483
2012,Minsk,49.202
2012,Mogilev,41.029
2012,Vitebsk,57.139
2013,Brest,63.199
2013,Gomel,57.485
2013,Grodno,79.917
2013,Minsk,72.199
2013,Mogilev,81.849
2013,Vitebsk,99.418
2014,Brest,55.467
2014,Gomel,72.551
2014,Grodno,61.961
2014,Minsk,58.726
2014,Mogilev,60.519
2014,Vitebsk,58.204
2015,Brest,60.755
2015,Gomel,84.072
2015,Grodno,68.751
2015,Minsk,73.286
2015,Mogilev,72.885
2015,Vitebsk,74.042
2016,Brest,119.605
2016,Gomel,86.068
2016,Grodno,164.708
2016,Minsk,142.305
2016,Mogilev,112.837
2016,Vitebsk,148.806
2017,Brest,117.035
2017,Gomel,101.131
2017,Grodno,117.859
2017,Minsk,121.580
2017,Mogilev,95.977
2017,Vitebsk,125.356
2018,Brest,121.913
2018,Gomel,146.607
2018,Grodno,129.881
2018,Minsk,148.619
2018,Mogilev,164.779
2018,Vitebsk,132.841
2019,Brest,77.115
2019,Gomel,88.595
2019,Grodno,62.767
2019,Minsk,97.183
2019,Mogilev,88.333
2019,Vitebsk,133.028
2020,Brest,59.062
2020,Gomel,78.141
2020,Grodno,40.012
2020,Minsk,82.720
2020,Mogilev,87.168
2020,Vitebsk,86.297
