year,region,tp_Mar
1940,Brest,54.219
1940,Gomel,53.500
1940,Grodno,56.921
1940,Minsk,61.641
1940,Mogilev,60.009
1940,Vitebsk,68.645
1941,Brest,54.408
1941,Gomel,53.175
1941,Grodno,54.373
1941,Minsk,52.530
1941,Mogilev,43.144
1941,Vitebsk,46.168
1942,Brest,21.819
1942,Gomel,30.672
1942,Grodno,17.530
1942,Minsk,19.982
1942,Mogilev,18.838
1942,Vitebsk,18.123
1943,Brest,14.792
1943,Gomel,11.388
1943,Grodno,23.490
1943,Minsk,17.638
1943,Mogilev,12.532
1943,Vitebsk,20.678
1944,Brest,40.565
1944,Gomel,59.680
1944,Grodno,37.011
1944,Minsk,37.585
1944,Mogilev,58.261
1944,Vitebsk,38.916
1945,Brest,33.553
1945,Gomel,35.034
1945,Grodno,41.055
1945,Minsk,32.530
1945,Mogilev,34.476
1945,Vitebsk,37.619
1946,Brest,39.480
1946,Gomel,39.515
1946,Grodno,49.018
1946,Minsk,45.294
1946,Mogilev,39.818
1946,Vitebsk,44.470
1947,Brest,58.497
1947,Gomel,73.575
1947,Grodno,55.545
1947,Minsk,68.017
1947,Mogilev,79.232
1947,Vitebsk,74.984
1948,Brest,39.892
1948,Gomel,31.189
1948,Grodno,38.716
1948,Minsk,33.114
1948,Mogilev,32.111
1948,Vitebsk,33.391
1949,Brest,41.206
1949,Gomel,57.139
1949,Grodno,43.417
1949,Minsk,52.983
1949,Mogilev,71.953
1949,Vitebsk,51.453
1950,Brest,11.199
1950,Gomel,18.430
1950,Grodno,17.868
1950,Minsk,16.992
1950,Mogilev,23.085
1950,Vitebsk,27.921
1951,Brest,66.618
1951,Gomel,58.501
1951,Grodno,68.288
1951,Minsk,66.848
1951,Mogilev,64.198
1951,Vitebsk,74.166
1952,Brest,38.458
1952,Gomel,38.568
1952,Grodno,30.768
1952,Minsk,33.051
1952,Mogilev,29.968
1952,Vitebsk,34.368
1953,Brest,14.067
1953,Gomel,13.208
1953,Grodno,14.659
1953,Minsk,13.093
1953,Mogilev,12.178
1953,Vitebsk,16.258
1954,Brest,21.216
1954,Gomel,32.277
1954,Grodno,24.501
1954,Minsk,22.469
1954,Mogilev,35.685
1954,Vitebsk,32.860
1955,Brest,31.629
1955,Gomel,36.212
1955,Grodno,39.579
1955,Minsk,33.995
1955,Mogilev,41.492
1955,Vitebsk,50.645
1956,Brest,40.908
1956,Gomel,37.581
1956,Grodno,32.811
1956,Minsk,31.914
1956,Mogilev,35.874
1956,Vitebsk,27.514
1957,Brest,27.074
1957,Gomel,38.927
1957,Grodno,31.357
1957,Minsk,34.009
1957,Mogilev,38.444
1957,Vitebsk,39.155
1958,Brest,87.846
1958,Gomel,73.128
1958,Grodno,107.399
1958,Minsk,99.341
1958,Mogilev,77.317
1958,Vitebsk,65.923
1959,Brest,28.166
1959,Gomel,35.270
1959,Grodno,23.172
1959,Minsk,26.905
1959,Mogilev,30.923
1959,Vitebsk,32.386
1960,Brest,9.209
1960,Gomel,9.491
1960,Grodno,24.599
1960,Minsk,21.179
1960,Mogilev,10.128
1960,Vitebsk,27.051
1961,Brest,52.813
1961,Gomel,53.188
1961,Grodno,62.777
1961,Minsk,64.613
1961,Mogilev,68.157
1961,Vitebsk,75.098
1962,Brest,70.605
1962,Gomel,67.663
1962,Grodno,58.556
1962,Minsk,66.887
1962,Mogilev,74.586
1962,Vitebsk,71.768
1963,Brest,31.185
1963,Gomel,45.971
1963,Grodno,33.619
1963,Minsk,42.949
1963,Mogilev,49.427
1963,Vitebsk,39.246
1964,Brest,55.661
1964,Gomel,61.364
1964,Grodno,40.487
1964,Minsk,52.628
1964,Mogilev,65.870
1964,Vitebsk,39.239
1965,Brest,35.022
1965,Gomel,25.201
1965,Grodno,43.945
1965,Minsk,45.771
1965,Mogilev,40.066
1965,Vitebsk,64.592
1966,Brest,43.694
1966,Gomel,61.992
1966,Grodno,52.084
1966,Minsk,55.730
1966,Mogilev,67.338
1966,Vitebsk,62.578
1967,Brest,51.111
1967,Gomel,57.091
1967,Grodno,50.514
1967,Minsk,49.644
1967,Mogilev,56.077
1967,Vitebsk,43.896
1968,Brest,31.860
1968,Gomel,22.971
1968,Grodno,39.257
1968,Minsk,29.833
1968,Mogilev,27.099
1968,Vitebsk,44.537
1969,Brest,32.229
1969,Gomel,40.342
1969,Grodno,16.547
1969,Minsk,16.264
1969,Mogilev,21.175
1969,Vitebsk,11.771
1970,Brest,47.142
1970,Gomel,44.733
1970,Grodno,51.842
1970,Minsk,51.491
1970,Mogilev,51.260
1970,Vitebsk,48.916
1971,Brest,43.887
1971,Gomel,48.072
1971,Grodno,54.897
1971,Minsk,52.966
1971,Mogilev,54.015
1971,Vitebsk,59.277
1972,Brest,37.443
1972,Gomel,35.077
1972,Grodno,48.693
1972,Minsk,47.824
1972,Mogilev,44.382
1972,Vitebsk,45.640
1973,Brest,21.253
1973,Gomel,24.818
1973,Grodno,22.014
1973,Minsk,20.713
1973,Mogilev,23.447
1973,Vitebsk,23.197
1974,Brest,4.401
1974,Gomel,3.808
1974,Grodno,8.912
1974,Minsk,8.002
1974,Mogilev,7.660
1974,Vitebsk,11.738
1975,Brest,29.601
1975,Gomel,39.825
1975,Grodno,33.373
1975,Minsk,47.985
1975,Mogilev,53.556
1975,Vitebsk,50.308
1976,Brest,61.323
1976,Gomel,73.412
1976,Grodno,57.673
1976,Minsk,64.998
1976,Mogilev,78.039
1976,Vitebsk,61.412
1977,Brest,40.303
1977,Gomel,39.166
1977,Grodno,38.480
1977,Minsk,35.335
1977,Mogilev,41.237
1977,Vitebsk,31.599
1978,Brest,28.381
1978,Gomel,40.903
1978,Grodno,42.605
1978,Minsk,34.988
1978,Mogilev,50.015
1978,Vitebsk,45.303
1979,Brest,52.115
1979,Gomel,57.655
1979,Grodno,69.584
1979,Minsk,53.766
1979,Mogilev,51.652
1979,Vitebsk,56.535
1980,Brest,40.427
1980,Gomel,44.033
1980,Grodno,38.887
1980,Minsk,41.856
1980,Mogilev,37.085
1980,Vitebsk,36.611
1981,Brest,46.569
1981,Gomel,41.395
1981,Grodno,50.354
1981,Minsk,46.465
1981,Mogilev,44.335
1981,Vitebsk,49.952
1982,Brest,19.036
1982,Gomel,22.900
1982,Grodno,24.336
1982,Minsk,26.127
1982,Mogilev,28.750
1982,Vitebsk,31.410
1983,Brest,84.050
1983,Gomel,82.252
1983,Grodno,86.572
1983,Minsk,108.383
1983,Mogilev,84.034
1983,Vitebsk,93.524
1984,Brest,27.796
1984,Gomel,33.388
1984,Grodno,23.364
1984,Minsk,30.969
1984,Mogilev,34.818
1984,Vitebsk,34.931
1985,Brest,48.754
1985,Gomel,26.276
1985,Grodno,59.175
1985,Minsk,51.373
1985,Mogilev,33.692
1985,Vitebsk,50.189
1986,Brest,21.163
1986,Gomel,16.435
1986,Grodno,29.022
1986,Minsk,26.132
1986,Mogilev,19.995
1986,Vitebsk,34.173
1987,Brest,55.221
1987,Gomel,44.640
1987,Grodno,46.839
1987,Minsk,54.855
1987,Mogilev,54.137
1987,Vitebsk,49.109
1988,Brest,67.632
1988,Gomel,67.200
1988,Grodno,71.742
1988,Minsk,64.630
1988,Mogilev,70.693
1988,Vitebsk,68.652
1989,Brest,46.926
1989,Gomel,53.132
1989,Grodno,49.852
1989,Minsk,46.803
1989,Mogilev,63.875
1989,Vitebsk,58.719
1990,Brest,40.977
1990,Gomel,41.304
1990,Grodno,52.078
1990,Minsk,55.736
1990,Mogilev,56.582
1990,Vitebsk,69.104
1991,Brest,22.736
1991,Gomel,21.889
1991,Grodno,27.572
1991,Minsk,27.198
1991,Mogilev,26.134
1991,Vitebsk,34.700
1992,Brest,46.148
1992,Gomel,57.423
1992,Grodno,61.519
1992,Minsk,57.988
1992,Mogilev,67.296
1992,Vitebsk,72.681
1993,Brest,48.547
1993,Gomel,47.659
1993,Grodno,51.842
1993,Minsk,53.691
1993,Mogilev,45.505
1993,Vitebsk,45.961
1994,Brest,79.388
1994,Gomel,75.180
1994,Grodno,81.607
1994,Minsk,79.047
1994,Mogilev,76.465
1994,Vitebsk,79.930
1995,Brest,63.729
1995,Gomel,37.553
1995,Grodno,81.413
1995,Minsk,54.963
1995,Mogilev,37.294
1995,Vitebsk,49.109
1996,Brest,34.864
1996,Gomel,34.104
1996,Grodno,29.867
1996,Minsk,30.188
1996,Mogilev,28.919
1996,Vitebsk,25.338
1997,Brest,38.653
1997,Gomel,42.286
1997,Grodno,41.698
1997,Minsk,45.530
1997,Mogilev,44.081
1997,Vitebsk,45.921
1998,Brest,54.226
1998,Gomel,58.831
1998,Grodno,53.891
1998,Minsk,51.751
1998,Mogilev,46.009
1998,Vitebsk,40.472
1999,Brest,50.198
1999,Gomel,47.038
1999,Grodno,54.296
1999,Minsk,63.395
1999,Mogilev,47.053
1999,Vitebsk,49.169
2000,Brest,62.664
2000,Gomel,61.334
2000,Grodno,53.196
2000,Minsk,49.616
2000,Mogilev,51.349
2000,Vitebsk,54.632
2001,Brest,43.573
2001,Gomel,51.323
2001,Grodno,40.656
2001,Minsk,43.520
2001,Mogilev,50.855
2001,Vitebsk,46.647
2002,Brest,36.984
2002,Gomel,24.534
2002,Grodno,39.307
2002,Minsk,31.245
2002,Mogilev,27.388
2002,Vitebsk,38.865
2003,Brest,26.013
2003,Gomel,29.803
2003,Grodno,25.556
2003,Minsk,25.835
2003,Mogilev,26.982
2003,Vitebsk,23.680
2004,Brest,41.140
2004,Gomel,42.271
2004,Grodno,48.127
2004,Minsk,41.070
2004,Mogilev,43.876
2004,Vitebsk,43.814
2005,Brest,53.772
2005,Gomel,63.674
2005,Grodno,50.940
2005,Minsk,58.748
2005,Mogilev,60.546
2005,Vitebsk,49.689
2006,Brest,51.457
2006,Gomel,75.944
2006,Grodno,35.924
2006,Minsk,41.705
2006,Mogilev,63.316
2006,Vitebsk,40.343
2007,Brest,36.005
2007,Gomel,22.776
2007,Grodno,32.954
2007,Minsk,34.058
2007,Mogilev,31.606
2007,Vitebsk,38.416
2008,Brest,64.746
2008,Gomel,62.630
2008,Grodno,72.904
2008,Minsk,75.443
2008,Mogilev,66.176
2008,Vitebsk,81.262
2009,Brest,68.299
2009,Gomel,49.682
2009,Grodno,57.388
2009,Minsk,47.302
2009,Mogilev,47.113
2009,Vitebsk,47.005
2010,Brest,30.131
2010,Gomel,20.803
2010,Grodno,36.955
2010,Minsk,34.999
2010,Mogilev,30.068
2010,Vitebsk,46.650
2011,Brest,20.552
2011,Gomel,16.065
2011,Grodno,19.865
2011,Minsk,16.697
2011,Mogilev,13.474
2011,Vitebsk,15.841
2012,Brest,38.567
2012,Gomel,52.647
2012,Grodno,38.039
2012,Minsk,56.500
2012,Mogilev,62.547
2012,Vitebsk,69.066
2013,Brest,75.894
2013,Gomel,92.057
2013,Grodno,46.716
2013,Minsk,58.687
2013,Mogilev,76.804
2013,Vitebsk,44.172
2014,Brest,31.304
2014,Gomel,23.681
2014,Grodno,32.745
2014,Minsk,26.513
2014,Mogilev,24.819
2014,Vitebsk,34.443
2015,Brest,38.461
2015,Gomel,37.081
2015,Grodno,34.609
2015,Minsk,26.813
2015,Mogilev,35.153
2015,Vitebsk,28.922
2016,Brest,56.119
2016,Gomel,45.232
2016,Grodno,56.803
2016,Minsk,48.355
2016,Mogilev,56.550
2016,Vitebsk,46.246
2017,Brest,68.033
2017,Gomel,50.097
2017,Grodno,69.655
2017,Minsk,66.711
2017,Mogilev,43.591
2017,Vitebsk,60.137
2018,Brest,43.289
2018,Gomel,63.933
2018,Grodno,35.080
2018,Minsk,45.974
2018,Mogilev,53.048
2018,Vitebsk,32.284
2019,Brest,47.665
2019,Gomel,46.884
2019,Grodno,47.910
2019,Minsk,46.846
2019,Mogilev,45.843
2019,Vitebsk,45.500
2020,Brest,30.162
2020,Gomel,37.674
2020,Grodno,41.526
2020,Minsk,33.726
2020,Mogilev,47.475
2020,Vitebsk,42.323
2021,Brest,33.622
2021,Gomel,41.506
2021,Grodno,29.079
2021,Minsk,39.456
2021,Mogilev,37.806
2021,Vitebsk,40.605
2022,Brest,11.673
2022,Gomel,17.599
2022,Grodno,5.627
2022,Minsk,9.260
2022,Mogilev,14.881
2022,Vitebsk,9.971
