year,region,tp_Nov
1940,Brest,42.681
1940,Gomel,40.670
1940,Grodno,56.070
1940,Minsk,53.779
1940,Mogilev,41.827
1940,Vitebsk,59.923
1941,Brest,49.589
1941,Gomel,41.122
1941,Grodno,35.246
1941,Minsk,29.383
1941,Mogilev,25.862
1941,Vitebsk,17.711
1942,Brest,25.443
1942,Gomel,33.442
1942,Grodno,28.992
1942,Minsk,32.493
1942,Mogilev,42.065
1942,Vitebsk,30.351
1943,Brest,72.291
1943,Gomel,53.885
1943,Grodno,74.386
1943,Minsk,69.216
1943,Mogilev,46.202
1943,Vitebsk,67.203
1944,Brest,98.663
1944,Gomel,86.233
1944,Grodno,90.671
1944,Minsk,82.525
1944,Mogilev,84.167
1944,Vitebsk,73.998
1945,Brest,31.783
1945,Gomel,21.914
1945,Grodno,26.295
1945,Minsk,20.801
1945,Mogilev,18.805
1945,Vitebsk,19.146
1946,Brest,38.347
1946,Gomel,42.341
1946,Grodno,18.138
1946,Minsk,21.936
1946,Mogilev,30.717
1946,Vitebsk,15.150
1947,Brest,79.380
1947,Gomel,85.830
1947,Grodno,70.907
1947,Minsk,56.445
1947,Mogilev,90.128
1947,Vitebsk,59.757
1948,Brest,29.361
1948,Gomel,26.511
1948,Grodno,45.612
1948,Minsk,35.806
1948,Mogilev,30.229
1948,Vitebsk,42.411
1949,Brest,38.281
1949,Gomel,50.239
1949,Grodno,40.007
1949,Minsk,37.154
1949,Mogilev,49.380
1949,Vitebsk,35.534
1950,Brest,79.580
1950,Gomel,61.433
1950,Grodno,104.536
1950,Minsk,93.632
1950,Mogilev,71.105
1950,Vitebsk,90.563
1951,Brest,45.797
1951,Gomel,37.248
1951,Grodno,48.430
1951,Minsk,45.870
1951,Mogilev,44.984
1951,Vitebsk,52.562
1952,Brest,75.256
1952,Gomel,78.951
1952,Grodno,79.457
1952,Minsk,86.602
1952,Mogilev,76.645
1952,Vitebsk,77.166
1953,Brest,19.987
1953,Gomel,14.683
1953,Grodno,22.271
1953,Minsk,21.997
1953,Mogilev,23.115
1953,Vitebsk,31.494
1954,Brest,20.818
1954,Gomel,26.313
1954,Grodno,24.949
1954,Minsk,26.752
1954,Mogilev,31.579
1954,Vitebsk,36.530
1955,Brest,36.349
1955,Gomel,31.394
1955,Grodno,43.087
1955,Minsk,37.448
1955,Mogilev,32.187
1955,Vitebsk,41.635
1956,Brest,36.939
1956,Gomel,43.929
1956,Grodno,36.779
1956,Minsk,35.582
1956,Mogilev,40.104
1956,Vitebsk,41.390
1957,Brest,43.314
1957,Gomel,56.697
1957,Grodno,44.706
1957,Minsk,54.551
1957,Mogilev,58.923
1957,Vitebsk,47.375
1958,Brest,31.393
1958,Gomel,22.246
1958,Grodno,33.521
1958,Minsk,31.937
1958,Mogilev,26.367
1958,Vitebsk,34.659
1959,Brest,50.966
1959,Gomel,58.481
1959,Grodno,52.842
1959,Minsk,58.593
1959,Mogilev,46.517
1959,Vitebsk,46.258
1960,Brest,82.830
1960,Gomel,71.582
1960,Grodno,78.344
1960,Minsk,77.651
1960,Mogilev,56.640
1960,Vitebsk,63.594
1961,Brest,55.143
1961,Gomel,56.061
1961,Grodno,44.805
1961,Minsk,42.821
1961,Mogilev,49.357
1961,Vitebsk,45.004
1962,Brest,63.402
1962,Gomel,67.570
1962,Grodno,54.612
1962,Minsk,67.370
1962,Mogilev,64.494
1962,Vitebsk,79.827
1963,Brest,60.613
1963,Gomel,62.134
1963,Grodno,94.608
1963,Minsk,90.516
1963,Mogilev,87.786
1963,Vitebsk,90.375
1964,Brest,71.670
1964,Gomel,48.933
1964,Grodno,85.922
1964,Minsk,71.468
1964,Mogilev,61.427
1964,Vitebsk,74.986
1965,Brest,61.333
1965,Gomel,40.820
1965,Grodno,60.225
1965,Minsk,60.396
1965,Mogilev,44.817
1965,Vitebsk,61.094
1966,Brest,62.880
1966,Gomel,79.021
1966,Grodno,64.468
1966,Minsk,60.035
1966,Mogilev,65.647
1966,Vitebsk,55.774
1967,Brest,68.470
1967,Gomel,69.556
1967,Grodno,76.121
1967,Minsk,103.514
1967,Mogilev,73.711
1967,Vitebsk,115.909
1968,Brest,35.853
1968,Gomel,34.144
1968,Grodno,37.495
1968,Minsk,35.647
1968,Mogilev,38.180
1968,Vitebsk,34.404
1969,Brest,75.827
1969,Gomel,100.305
1969,Grodno,101.787
1969,Minsk,116.429
1969,Mogilev,116.007
1969,Vitebsk,118.096
1970,Brest,79.673
1970,Gomel,64.140
1970,Grodno,82.446
1970,Minsk,68.986
1970,Mogilev,62.107
1970,Vitebsk,74.137
1971,Brest,48.922
1971,Gomel,53.701
1971,Grodno,50.361
1971,Minsk,54.558
1971,Mogilev,65.609
1971,Vitebsk,59.328
1972,Brest,71.310
1972,Gomel,89.938
1972,Grodno,90.045
1972,Minsk,95.801
1972,Mogilev,102.175
1972,Vitebsk,117.828
1973,Brest,63.740
1973,Gomel,60.190
1973,Grodno,65.502
1973,Minsk,55.982
1973,Mogilev,60.233
1973,Vitebsk,66.422
1974,Brest,55.411
1974,Gomel,79.926
1974,Grodno,62.731
1974,Minsk,67.639
1974,Mogilev,81.099
1974,Vitebsk,65.745
1975,Brest,21.225
1975,Gomel,19.997
1975,Grodno,35.223
1975,Minsk,37.103
1975,Mogilev,28.003
1975,Vitebsk,40.582
1976,Brest,41.275
1976,Gomel,27.739
1976,Grodno,43.202
1976,Minsk,34.815
1976,Mogilev,35.424
1976,Vitebsk,49.233
1977,Brest,65.368
1977,Gomel,83.095
1977,Grodno,61.838
1977,Minsk,70.292
1977,Mogilev,87.929
1977,Vitebsk,74.553
1978,Brest,22.583
1978,Gomel,21.704
1978,Grodno,35.692
1978,Minsk,34.525
1978,Mogilev,34.042
1978,Vitebsk,47.885
1979,Brest,46.223
1979,Gomel,62.931
1979,Grodno,43.281
1979,Minsk,42.127
1979,Mogilev,65.588
1979,Vitebsk,45.568
1980,Brest,51.990
1980,Gomel,53.419
1980,Grodno,53.146
1980,Minsk,51.326
1980,Mogilev,48.687
1980,Vitebsk,49.060
1981,Brest,73.555
1981,Gomel,64.951
1981,Grodno,71.027
1981,Minsk,57.594
1981,Mogilev,70.100
1981,Vitebsk,64.847
1982,Brest,35.278
1982,Gomel,35.918
1982,Grodno,40.718
1982,Minsk,30.385
1982,Mogilev,38.735
1982,Vitebsk,41.083
1983,Brest,34.195
1983,Gomel,40.320
1983,Grodno,47.793
1983,Minsk,46.578
1983,Mogilev,49.741
1983,Vitebsk,59.104
1984,Brest,33.358
1984,Gomel,32.992
1984,Grodno,40.258
1984,Minsk,38.713
1984,Mogilev,34.698
1984,Vitebsk,41.544
1985,Brest,39.719
1985,Gomel,59.804
1985,Grodno,42.398
1985,Minsk,47.224
1985,Mogilev,60.567
1985,Vitebsk,58.400
1986,Brest,42.235
1986,Gomel,43.501
1986,Grodno,51.961
1986,Minsk,47.054
1986,Mogilev,40.927
1986,Vitebsk,54.934
1987,Brest,58.089
1987,Gomel,48.897
1987,Grodno,56.149
1987,Minsk,52.723
1987,Mogilev,56.369
1987,Vitebsk,57.348
1988,Brest,70.724
1988,Gomel,60.683
1988,Grodno,72.385
1988,Minsk,77.390
1988,Mogilev,67.461
1988,Vitebsk,75.098
1989,Brest,40.831
1989,Gomel,34.678
1989,Grodno,42.355
1989,Minsk,39.804
1989,Mogilev,34.588
1989,Vitebsk,38.275
1990,Brest,69.629
1990,Gomel,62.315
1990,Grodno,70.368
1990,Minsk,68.720
1990,Mogilev,65.349
1990,Vitebsk,71.818
1991,Brest,54.514
1991,Gomel,40.282
1991,Grodno,60.855
1991,Minsk,52.014
1991,Mogilev,43.489
1991,Vitebsk,52.192
1992,Brest,71.001
1992,Gomel,90.852
1992,Grodno,68.655
1992,Minsk,71.091
1992,Mogilev,78.066
1992,Vitebsk,70.373
1993,Brest,19.467
1993,Gomel,16.896
1993,Grodno,17.382
1993,Minsk,12.404
1993,Mogilev,9.269
1993,Vitebsk,4.298
1994,Brest,41.038
1994,Gomel,47.160
1994,Grodno,46.434
1994,Minsk,49.944
1994,Mogilev,54.295
1994,Vitebsk,62.299
1995,Brest,37.788
1995,Gomel,38.688
1995,Grodno,44.416
1995,Minsk,48.618
1995,Mogilev,46.553
1995,Vitebsk,43.703
1996,Brest,45.077
1996,Gomel,84.552
1996,Grodno,48.716
1996,Minsk,59.345
1996,Mogilev,83.621
1996,Vitebsk,74.281
1997,Brest,69.406
1997,Gomel,51.730
1997,Grodno,58.495
1997,Minsk,61.808
1997,Mogilev,48.352
1997,Vitebsk,62.892
1998,Brest,48.839
1998,Gomel,62.318
1998,Grodno,48.109
1998,Minsk,51.596
1998,Mogilev,58.293
1998,Vitebsk,41.214
1999,Brest,51.449
1999,Gomel,43.454
1999,Grodno,54.833
1999,Minsk,50.439
1999,Mogilev,47.171
1999,Vitebsk,39.926
2000,Brest,55.274
2000,Gomel,38.658
2000,Grodno,66.319
2000,Minsk,50.876
2000,Mogilev,51.064
2000,Vitebsk,56.677
2001,Brest,47.257
2001,Gomel,58.465
2001,Grodno,51.180
2001,Minsk,55.258
2001,Mogilev,61.004
2001,Vitebsk,69.383
2002,Brest,40.329
2002,Gomel,46.835
2002,Grodno,34.130
2002,Minsk,33.852
2002,Mogilev,34.676
2002,Vitebsk,36.895
2003,Brest,34.783
2003,Gomel,33.968
2003,Grodno,35.580
2003,Minsk,28.370
2003,Mogilev,32.667
2003,Vitebsk,43.830
2004,Brest,75.479
2004,Gomel,72.233
2004,Grodno,59.022
2004,Minsk,55.254
2004,Mogilev,71.335
2004,Vitebsk,51.850
2005,Brest,39.677
2005,Gomel,42.726
2005,Grodno,45.000
2005,Minsk,48.260
2005,Mogilev,51.209
2005,Vitebsk,57.618
2006,Brest,36.717
2006,Gomel,29.841
2006,Grodno,41.592
2006,Minsk,36.595
2006,Mogilev,31.330
2006,Vitebsk,49.749
2007,Brest,35.877
2007,Gomel,63.516
2007,Grodno,42.916
2007,Minsk,55.343
2007,Mogilev,74.177
2007,Vitebsk,74.517
2008,Brest,45.299
2008,Gomel,40.035
2008,Grodno,39.786
2008,Minsk,42.760
2008,Mogilev,46.896
2008,Vitebsk,46.210
2009,Brest,53.102
2009,Gomel,64.577
2009,Grodno,60.820
2009,Minsk,62.545
2009,Mogilev,81.942
2009,Vitebsk,73.673
2010,Brest,99.931
2010,Gomel,111.819
2010,Grodno,80.222
2010,Minsk,78.735
2010,Mogilev,87.111
2010,Vitebsk,69.615
2011,Brest,12.195
2011,Gomel,12.903
2011,Grodno,19.669
2011,Minsk,18.283
2011,Mogilev,19.677
2011,Vitebsk,26.860
2012,Brest,42.102
2012,Gomel,49.936
2012,Grodno,61.791
2012,Minsk,62.778
2012,Mogilev,54.426
2012,Vitebsk,93.806
2013,Brest,68.770
2013,Gomel,74.884
2013,Grodno,61.722
2013,Minsk,95.838
2013,Mogilev,91.461
2013,Vitebsk,102.980
2014,Brest,34.627
2014,Gomel,14.597
2014,Grodno,37.347
2014,Minsk,18.076
2014,Mogilev,9.638
2014,Vitebsk,14.347
2015,Brest,67.923
2015,Gomel,76.839
2015,Grodno,71.721
2015,Minsk,76.165
2015,Mogilev,81.605
2015,Vitebsk,77.449
2016,Brest,64.522
2016,Gomel,51.615
2016,Grodno,68.748
2016,Minsk,64.073
2016,Mogilev,63.579
2016,Vitebsk,70.609
2017,Brest,49.592
2017,Gomel,66.805
2017,Grodno,53.310
2017,Minsk,67.930
2017,Mogilev,70.584
2017,Vitebsk,58.509
2018,Brest,24.903
2018,Gomel,20.797
2018,Grodno,23.304
2018,Minsk,30.459
2018,Mogilev,22.256
2018,Vitebsk,28.956
2019,Brest,51.123
2019,Gomel,35.142
2019,Grodno,52.569
2019,Minsk,51.691
2019,Mogilev,40.670
2019,Vitebsk,62.440
2020,Brest,36.808
2020,Gomel,34.684
2020,Grodno,42.602
2020,Minsk,50.475
2020,Mogilev,43.436
2020,Vitebsk,53.139
2021,Brest,46.658
2021,Gomel,37.742
2021,Grodno,67.808
2021,Minsk,61.586
2021,Mogilev,53.940
2021,Vitebsk,83.541
2022,Brest,34.986
2022,Gomel,66.500
2022,Grodno,34.140
2022,Minsk,51.615
2022,Mogilev,71.022
2022,Vitebsk,63.530
