year,region,tp_annual
1940,Brest,619.979
1940,Gomel,598.035
1940,Grodno,678.534
1940,Minsk,611.832
1940,Mogilev,641.426
1940,Vitebsk,705.142
1941,Brest,695.604
1941,Gomel,667.430
1941,Grodno,665.520
1941,Minsk,631.831
1941,Mogilev,606.504
1941,Vitebsk,604.060
1942,Brest,458.154
1942,Gomel,379.061
1942,Grodno,510.422
1942,Minsk,476.963
1942,Mogilev,412.052
1942,Vitebsk,520.849
1943,Brest,653.405
1943,Gomel,587.280
1943,Grodno,719.451
1943,Minsk,681.112
1943,Mogilev,594.399
1943,Vitebsk,703.013
1944,Brest,612.112
1944,Gomel,541.496
1944,Grodno,612.677
1944,Minsk,548.859
1944,Mogilev,552.717
1944,Vitebsk,542.194
1945,Brest,620.989
1945,Gomel,590.271
1945,Grodno,711.931
1945,Minsk,689.986
1945,Mogilev,691.444
1945,Vitebsk,785.450
1946,Brest,538.412
1946,Gomel,481.451
1946,Grodno,601.798
1946,Minsk,574.773
1946,Mogilev,519.741
1946,Vitebsk,571.744
1947,Brest,679.956
1947,Gomel,747.084
1947,Grodno,650.970
1947,Minsk,718.650
1947,Mogilev,834.115
1947,Vitebsk,746.713
1948,Brest,699.821
1948,Gomel,624.193
1948,Grodno,723.823
1948,Minsk,666.187
1948,Mogilev,610.751
1948,Vitebsk,748.628
1949,Brest,610.880
1949,Gomel,647.927
1949,Grodno,686.070
1949,Minsk,673.924
1949,Mogilev,683.781
1949,Vitebsk,692.263
1950,Brest,571.392
1950,Gomel,557.137
1950,Grodno,704.218
1950,Minsk,687.878
1950,Mogilev,603.480
1950,Vitebsk,745.949
1951,Brest,528.145
1951,Gomel,530.523
1951,Grodno,523.266
1951,Minsk,545.199
1951,Mogilev,545.798
1951,Vitebsk,615.927
1952,Brest,696.393
1952,Gomel,671.960
1952,Grodno,736.502
1952,Minsk,736.617
1952,Mogilev,738.065
1952,Vitebsk,797.296
1953,Brest,451.344
1953,Gomel,589.956
1953,Grodno,476.542
1953,Minsk,490.264
1953,Mogilev,602.954
1953,Vitebsk,604.573
1954,Brest,658.113
1954,Gomel,673.450
1954,Grodno,690.291
1954,Minsk,691.774
1954,Mogilev,639.035
1954,Vitebsk,707.206
1955,Brest,653.608
1955,Gomel,574.214
1955,Grodno,616.405
1955,Minsk,613.769
1955,Mogilev,622.893
1955,Vitebsk,683.253
1956,Brest,679.535
1956,Gomel,722.102
1956,Grodno,717.308
1956,Minsk,716.454
1956,Mogilev,742.770
1956,Vitebsk,746.779
1957,Brest,609.043
1957,Gomel,698.340
1957,Grodno,727.385
1957,Minsk,754.270
1957,Mogilev,776.275
1957,Vitebsk,860.884
1958,Brest,746.079
1958,Gomel,878.186
1958,Grodno,797.014
1958,Minsk,800.401
1958,Mogilev,861.528
1958,Vitebsk,773.886
1959,Brest,545.880
1959,Gomel,499.720
1959,Grodno,591.160
1959,Minsk,550.485
1959,Mogilev,521.739
1959,Vitebsk,561.103
1960,Brest,719.973
1960,Gomel,624.750
1960,Grodno,830.666
1960,Minsk,761.043
1960,Mogilev,687.901
1960,Vitebsk,772.003
1961,Brest,525.038
1961,Gomel,627.889
1961,Grodno,614.054
1961,Minsk,614.324
1961,Mogilev,693.037
1961,Vitebsk,735.106
1962,Brest,755.555
1962,Gomel,857.751
1962,Grodno,827.956
1962,Minsk,870.528
1962,Mogilev,937.524
1962,Vitebsk,963.093
1963,Brest,577.133
1963,Gomel,517.399
1963,Grodno,676.837
1963,Minsk,625.205
1963,Mogilev,615.222
1963,Vitebsk,664.432
1964,Brest,648.041
1964,Gomel,758.983
1964,Grodno,669.561
1964,Minsk,738.227
1964,Mogilev,745.655
1964,Vitebsk,686.278
1965,Brest,695.044
1965,Gomel,732.359
1965,Grodno,681.345
1965,Minsk,788.097
1965,Mogilev,773.550
1965,Vitebsk,790.754
1966,Brest,757.868
1966,Gomel,729.097
1966,Grodno,779.952
1966,Minsk,760.361
1966,Mogilev,750.669
1966,Vitebsk,777.248
1967,Brest,742.665
1967,Gomel,738.483
1967,Grodno,804.049
1967,Minsk,769.483
1967,Mogilev,775.121
1967,Vitebsk,761.958
1968,Brest,779.725
1968,Gomel,770.168
1968,Grodno,705.211
1968,Minsk,726.599
1968,Mogilev,717.362
1968,Vitebsk,764.657
1969,Brest,647.300
1969,Gomel,837.967
1969,Grodno,701.077
1969,Minsk,727.150
1969,Mogilev,809.947
1969,Vitebsk,679.708
1970,Brest,938.234
1970,Gomel,907.869
1970,Grodno,908.281
1970,Minsk,886.214
1970,Mogilev,817.542
1970,Vitebsk,877.204
1971,Brest,718.488
1971,Gomel,803.357
1971,Grodno,697.294
1971,Minsk,726.173
1971,Mogilev,838.285
1971,Vitebsk,778.851
1972,Brest,796.435
1972,Gomel,732.123
1972,Grodno,863.098
1972,Minsk,807.478
1972,Mogilev,755.931
1972,Vitebsk,779.846
1973,Brest,757.044
1973,Gomel,717.450
1973,Grodno,779.364
1973,Minsk,777.166
1973,Mogilev,804.307
1973,Vitebsk,779.855
1974,Brest,903.527
1974,Gomel,821.441
1974,Grodno,859.725
1974,Minsk,808.367
1974,Mogilev,792.628
1974,Vitebsk,785.605
1975,Brest,702.803
1975,Gomel,652.981
1975,Grodno,653.006
1975,Minsk,668.404
1975,Mogilev,623.248
1975,Vitebsk,659.972
1976,Brest,652.853
1976,Gomel,669.133
1976,Grodno,643.393
1976,Minsk,657.011
1976,Mogilev,685.575
1976,Vitebsk,695.330
1977,Brest,813.604
1977,Gomel,815.329
1977,Grodno,815.909
1977,Minsk,870.917
1977,Mogilev,804.009
1977,Vitebsk,807.647
1978,Brest,714.429
1978,Gomel,686.435
1978,Grodno,824.100
1978,Minsk,793.003
1978,Mogilev,720.140
1978,Vitebsk,873.640
1979,Brest,647.315
1979,Gomel,665.676
1979,Grodno,675.483
1979,Minsk,680.145
1979,Mogilev,677.425
1979,Vitebsk,721.136
1980,Brest,894.282
1980,Gomel,934.485
1980,Grodno,907.039
1980,Minsk,870.600
1980,Mogilev,898.568
1980,Vitebsk,833.114
1981,Brest,733.818
1981,Gomel,753.261
1981,Grodno,752.698
1981,Minsk,759.448
1981,Mogilev,760.130
1981,Vitebsk,800.687
1982,Brest,648.705
1982,Gomel,708.449
1982,Grodno,665.463
1982,Minsk,742.572
1982,Mogilev,747.873
1982,Vitebsk,749.576
1983,Brest,745.108
1983,Gomel,666.443
1983,Grodno,746.426
1983,Minsk,687.969
1983,Mogilev,704.093
1983,Vitebsk,746.014
1984,Brest,700.075
1984,Gomel,731.177
1984,Grodno,693.934
1984,Minsk,715.622
1984,Mogilev,739.678
1984,Vitebsk,759.546
1985,Brest,847.661
1985,Gomel,778.941
1985,Grodno,872.032
1985,Minsk,778.902
1985,Mogilev,839.350
1985,Vitebsk,847.127
1986,Brest,681.177
1986,Gomel,659.603
1986,Grodno,776.308
1986,Minsk,696.758
1986,Mogilev,697.941
1986,Vitebsk,804.060
1987,Brest,712.455
1987,Gomel,700.093
1987,Grodno,739.662
1987,Minsk,685.892
1987,Mogilev,750.893
1987,Vitebsk,809.871
1988,Brest,858.726
1988,Gomel,745.567
1988,Grodno,850.456
1988,Minsk,766.576
1988,Mogilev,774.385
1988,Vitebsk,824.996
1989,Brest,749.697
1989,Gomel,707.767
1989,Grodno,831.500
1989,Minsk,816.268
1989,Mogilev,771.736
1989,Vitebsk,877.835
1990,Brest,826.073
1990,Gomel,897.813
1990,Grodno,881.338
1990,Minsk,877.784
1990,Mogilev,886.044
1990,Vitebsk,940.080
1991,Brest,625.033
1991,Gomel,643.929
1991,Grodno,605.006
1991,Minsk,635.658
1991,Mogilev,725.091
1991,Vitebsk,716.371
1992,Brest,714.903
1992,Gomel,659.210
1992,Grodno,731.720
1992,Minsk,690.848
1992,Mogilev,663.218
1992,Vitebsk,726.686
1993,Brest,735.336
1993,Gomel,814.236
1993,Grodno,796.236
1993,Minsk,764.653
1993,Mogilev,769.330
1993,Vitebsk,797.946
1994,Brest,735.404
1994,Gomel,686.174
1994,Grodno,803.913
1994,Minsk,776.564
1994,Mogilev,713.877
1994,Vitebsk,810.839
1995,Brest,696.883
1995,Gomel,641.209
1995,Grodno,719.890
1995,Minsk,684.226
1995,Mogilev,714.831
1995,Vitebsk,769.904
1996,Brest,668.036
1996,Gomel,659.010
1996,Grodno,710.726
1996,Minsk,658.715
1996,Mogilev,626.081
1996,Vitebsk,661.638
1997,Brest,759.324
1997,Gomel,744.344
1997,Grodno,760.454
1997,Minsk,782.327
1997,Mogilev,761.066
1997,Vitebsk,836.919
1998,Brest,849.065
1998,Gomel,894.332
1998,Grodno,898.627
1998,Minsk,986.415
1998,Mogilev,960.370
1998,Vitebsk,965.447
1999,Brest,653.638
1999,Gomel,670.242
1999,Grodno,665.152
1999,Minsk,606.125
1999,Mogilev,651.141
1999,Vitebsk,640.345
2000,Brest,712.564
2000,Gomel,701.662
2000,Grodno,722.186
2000,Minsk,699.938
2000,Mogilev,736.146
2000,Vitebsk,786.021
2001,Brest,654.072
2001,Gomel,732.238
2001,Grodno,687.150
2001,Minsk,702.389
2001,Mogilev,745.532
2001,Vitebsk,778.521
2002,Brest,662.780
2002,Gomel,599.488
2002,Grodno,658.932
2002,Minsk,618.553
2002,Mogilev,589.188
2002,Vitebsk,605.107
2003,Brest,659.176
2003,Gomel,654.177
2003,Grodno,705.102
2003,Minsk,663.843
2003,Mogilev,681.028
2003,Vitebsk,741.508
2004,Brest,762.896
2004,Gomel,705.240
2004,Grodno,810.760
2004,Minsk,801.115
2004,Mogilev,743.489
2004,Vitebsk,743.281
2005,Brest,647.630
2005,Gomel,660.576
2005,Grodno,716.355
2005,Minsk,707.748
2005,Mogilev,718.311
2005,Vitebsk,754.443
2006,Brest,693.468
2006,Gomel,704.273
2006,Grodno,710.283
2006,Minsk,652.362
2006,Mogilev,701.631
2006,Vitebsk,749.292
2007,Brest,706.197
2007,Gomel,698.697
2007,Grodno,736.444
2007,Minsk,669.348
2007,Mogilev,733.083
2007,Vitebsk,713.048
2008,Brest,778.858
2008,Gomel,726.734
2008,Grodno,787.404
2008,Minsk,768.473
2008,Mogilev,753.054
2008,Vitebsk,798.433
2009,Brest,772.732
2009,Gomel,785.416
2009,Grodno,767.400
2009,Minsk,870.138
2009,Mogilev,904.929
2009,Vitebsk,898.772
2010,Brest,815.520
2010,Gomel,719.721
2010,Grodno,840.402
2010,Minsk,795.372
2010,Mogilev,772.808
2010,Vitebsk,836.566
2011,Brest,600.435
2011,Gomel,595.076
2011,Grodno,637.216
2011,Minsk,637.721
2011,Mogilev,667.002
2011,Vitebsk,680.982
2012,Brest,723.903
2012,Gomel,903.781
2012,Grodno,773.104
2012,Minsk,824.262
2012,Mogilev,939.008
2012,Vitebsk,884.367
2013,Brest,767.507
2013,Gomel,708.304
2013,Grodno,742.158
2013,Minsk,718.473
2013,Mogilev,694.814
2013,Vitebsk,698.113
2014,Brest,648.788
2014,Gomel,567.689
2014,Grodno,677.615
2014,Minsk,631.396
2014,Mogilev,571.426
2014,Vitebsk,662.291
2015,Brest,585.096
2015,Gomel,539.761
2015,Grodno,648.001
2015,Minsk,608.447
2015,Mogilev,556.395
2015,Vitebsk,622.480
2016,Brest,795.000
2016,Gomel,736.642
2016,Grodno,880.560
2016,Minsk,773.234
2016,Mogilev,769.140
2016,Vitebsk,820.275
2017,Brest,811.510
2017,Gomel,773.413
2017,Grodno,878.327
2017,Minsk,891.255
2017,Mogilev,846.871
2017,Vitebsk,897.241
2018,Brest,632.346
2018,Gomel,653.115
2018,Grodno,649.049
2018,Minsk,635.073
2018,Mogilev,675.608
2018,Vitebsk,604.466
2019,Brest,669.601
2019,Gomel,546.507
2019,Grodno,638.804
2019,Minsk,645.208
2019,Mogilev,617.545
2019,Vitebsk,746.474
2020,Brest,701.277
2020,Gomel,677.902
2020,Grodno,660.425
2020,Minsk,720.478
2020,Mogilev,811.645
2020,Vitebsk,754.195
2021,Brest,804.128
2021,Gomel,763.268
2021,Grodno,884.137
2021,Minsk,789.597
2021,Mogilev,771.078
2021,Vitebsk,778.443
2022,Brest,757.253
2022,Gomel,849.095
2022,Grodno,799.306
2022,Minsk,822.513
2022,Mogilev,910.102
2022,Vitebsk,806.579
