year,region,tp_fall
1955,Brest,100.859
1955,Gomel,118.030
1955,Grodno,122.129
1955,Minsk,139.793
1955,Mogilev,146.825
1955,Vitebsk,182.999
1956,Brest,155.747
1956,Gomel,140.792
1956,Grodno,145.878
1956,Minsk,144.588
1956,Mogilev,119.257
1956,Vitebsk,123.055
1957,Brest,158.276
1957,Gomel,174.601
1957,Grodno,208.003
1957,Minsk,204.739
1957,Mogilev,192.491
1957,Vitebsk,207.836
1958,Brest,123.710
1958,Gomel,162.387
1958,Grodno,120.392
1958,Minsk,124.610
1958,Mogilev,169.261
1958,Vitebsk,141.317
1959,Brest,115.276
1959,Gomel,125.189
1959,Grodno,132.920
1959,Minsk,138.706
1959,Mogilev,128.761
1959,Vitebsk,129.967
1960,Brest,210.662
1960,Gomel,176.191
1960,Grodno,212.662
1960,Minsk,214.483
1960,Mogilev,189.529
1960,Vitebsk,207.652
1961,Brest,79.775
1961,Gomel,92.093
1961,Grodno,83.935
1961,Minsk,81.172
1961,Mogilev,101.785
1961,Vitebsk,118.927
1962,Brest,117.168
1962,Gomel,130.665
1962,Grodno,139.628
1962,Minsk,143.429
1962,Mogilev,135.556
1962,Vitebsk,167.746
1963,Brest,165.706
1963,Gomel,104.015
1963,Grodno,192.552
1963,Minsk,166.098
1963,Mogilev,133.458
1963,Vitebsk,191.791
1964,Brest,140.466
1964,Gomel,137.346
1964,Grodno,183.629
1964,Minsk,192.085
1964,Mogilev,159.208
1964,Vitebsk,178.534
1965,Brest,100.305
1965,Gomel,93.672
1965,Grodno,110.309
1965,Minsk,118.691
1965,Mogilev,100.558
1965,Vitebsk,119.015
1966,Brest,162.079
1966,Gomel,161.209
1966,Grodno,142.345
1966,Minsk,144.435
1966,Mogilev,154.060
1966,Vitebsk,134.367
1967,Brest,132.176
1967,Gomel,97.777
1967,Grodno,167.273
1967,Minsk,173.363
1967,Mogilev,118.463
1967,Vitebsk,204.880
1968,Brest,149.962
1968,Gomel,157.151
1968,Grodno,147.238
1968,Minsk,150.094
1968,Mogilev,134.085
1968,Vitebsk,144.049
1969,Brest,122.784
1969,Gomel,152.915
1969,Grodno,181.626
1969,Minsk,178.623
1969,Mogilev,185.666
1969,Vitebsk,204.181
1970,Brest,215.447
1970,Gomel,197.319
1970,Grodno,214.336
1970,Minsk,200.814
1970,Mogilev,196.363
1970,Vitebsk,193.733
1971,Brest,145.940
1971,Gomel,179.085
1971,Grodno,175.560
1971,Minsk,187.012
1971,Mogilev,209.119
1971,Vitebsk,210.050
1972,Brest,184.451
1972,Gomel,188.278
1972,Grodno,201.929
1972,Minsk,213.935
1972,Mogilev,184.791
1972,Vitebsk,204.837
1973,Brest,155.358
1973,Gomel,170.625
1973,Grodno,167.571
1973,Minsk,163.347
1973,Mogilev,168.154
1973,Vitebsk,168.111
1974,Brest,271.616
1974,Gomel,183.507
1974,Grodno,242.728
1974,Minsk,221.476
1974,Mogilev,166.102
1974,Vitebsk,172.323
1975,Brest,97.404
1975,Gomel,64.925
1975,Grodno,95.671
1975,Minsk,86.382
1975,Mogilev,65.004
1975,Vitebsk,77.379
1976,Brest,104.983
1976,Gomel,103.146
1976,Grodno,108.181
1976,Minsk,107.761
1976,Mogilev,107.829
1976,Vitebsk,115.437
1977,Brest,131.137
1977,Gomel,135.831
1977,Grodno,142.088
1977,Minsk,136.382
1977,Mogilev,147.193
1977,Vitebsk,140.284
1978,Brest,166.166
1978,Gomel,127.874
1978,Grodno,214.287
1978,Minsk,196.046
1978,Mogilev,151.182
1978,Vitebsk,259.464
1979,Brest,78.945
1979,Gomel,109.360
1979,Grodno,88.589
1979,Minsk,87.107
1979,Mogilev,121.227
1979,Vitebsk,97.146
1980,Brest,208.447
1980,Gomel,178.409
1980,Grodno,210.014
1980,Minsk,180.174
1980,Mogilev,146.956
1980,Vitebsk,156.926
1981,Brest,161.219
1981,Gomel,189.510
1981,Grodno,172.743
1981,Minsk,175.620
1981,Mogilev,211.073
1981,Vitebsk,206.698
1982,Brest,91.992
1982,Gomel,98.126
1982,Grodno,96.774
1982,Minsk,103.138
1982,Mogilev,105.153
1982,Vitebsk,120.556
1983,Brest,98.342
1983,Gomel,102.735
1983,Grodno,139.045
1983,Minsk,93.571
1983,Mogilev,99.236
1983,Vitebsk,105.703
1984,Brest,157.363
1984,Gomel,174.051
1984,Grodno,180.173
1984,Minsk,157.858
1984,Mogilev,199.901
1984,Vitebsk,199.811
1985,Brest,142.693
1985,Gomel,154.821
1985,Grodno,188.358
1985,Minsk,201.061
1985,Mogilev,226.086
1985,Vitebsk,259.035
1986,Brest,98.892
1986,Gomel,107.568
1986,Grodno,142.951
1986,Minsk,124.625
1986,Mogilev,95.128
1986,Vitebsk,155.394
1987,Brest,121.172
1987,Gomel,118.438
1987,Grodno,120.319
1987,Minsk,125.864
1987,Mogilev,115.633
1987,Vitebsk,135.468
1988,Brest,123.063
1988,Gomel,124.819
1988,Grodno,141.520
1988,Minsk,139.267
1988,Mogilev,130.574
1988,Vitebsk,140.500
1989,Brest,137.729
1989,Gomel,144.867
1989,Grodno,141.588
1989,Minsk,149.211
1989,Mogilev,140.769
1989,Vitebsk,155.060
1990,Brest,223.781
1990,Gomel,215.365
1990,Grodno,258.497
1990,Minsk,238.363
1990,Mogilev,201.871
1990,Vitebsk,252.782
1991,Brest,108.481
1991,Gomel,148.445
1991,Grodno,121.895
1991,Minsk,110.896
1991,Mogilev,158.583
1991,Vitebsk,132.802
1992,Brest,258.708
1992,Gomel,225.447
1992,Grodno,257.149
1992,Minsk,239.077
1992,Mogilev,236.239
1992,Vitebsk,235.427
1993,Brest,107.404
1993,Gomel,162.330
1993,Grodno,145.359
1993,Minsk,130.180
1993,Mogilev,159.548
1993,Vitebsk,162.645
1994,Brest,167.792
1994,Gomel,144.677
1994,Grodno,183.807
1994,Minsk,167.927
1994,Mogilev,161.739
1994,Vitebsk,178.509
1995,Brest,120.282
1995,Gomel,138.248
1995,Grodno,144.898
1995,Minsk,141.121
1995,Mogilev,166.932
1995,Vitebsk,195.257
1996,Brest,135.309
1996,Gomel,189.120
1996,Grodno,150.546
1996,Minsk,164.148
1996,Mogilev,190.103
1996,Vitebsk,203.801
1997,Brest,158.745
1997,Gomel,152.303
1997,Grodno,183.784
1997,Minsk,171.542
1997,Mogilev,177.285
1997,Vitebsk,245.207
1998,Brest,170.702
1998,Gomel,188.884
1998,Grodno,179.702
1998,Minsk,219.609
1998,Mogilev,215.886
1998,Vitebsk,200.967
1999,Brest,132.457
1999,Gomel,148.372
1999,Grodno,124.177
1999,Minsk,113.936
1999,Mogilev,127.924
1999,Vitebsk,113.483
2000,Brest,97.378
2000,Gomel,132.679
2000,Grodno,91.641
2000,Minsk,101.192
2000,Mogilev,104.192
2000,Vitebsk,98.359
2001,Brest,180.588
2001,Gomel,158.908
2001,Grodno,186.336
2001,Minsk,162.073
2001,Mogilev,155.928
2001,Vitebsk,179.114
2002,Brest,176.623
2002,Gomel,206.012
2002,Grodno,198.082
2002,Minsk,189.451
2002,Mogilev,193.449
2002,Vitebsk,168.428
2003,Brest,104.092
2003,Gomel,184.731
2003,Grodno,133.053
2003,Minsk,115.991
2003,Mogilev,177.170
2003,Vitebsk,148.650
2004,Brest,136.502
2004,Gomel,148.766
2004,Grodno,150.163
2004,Minsk,157.386
2004,Mogilev,127.843
2004,Vitebsk,175.091
2005,Brest,63.253
2005,Gomel,92.803
2005,Grodno,100.010
2005,Minsk,92.430
2005,Mogilev,91.615
2005,Vitebsk,103.814
2006,Brest,88.046
2006,Gomel,114.083
2006,Grodno,135.583
2006,Minsk,118.252
2006,Mogilev,104.086
2006,Vitebsk,175.118
2007,Brest,86.877
2007,Gomel,155.483
2007,Grodno,127.299
2007,Minsk,127.791
2007,Mogilev,164.053
2007,Vitebsk,174.425
2008,Brest,161.512
2008,Gomel,153.040
2008,Grodno,153.078
2008,Minsk,149.526
2008,Mogilev,125.890
2008,Vitebsk,153.698
2009,Brest,184.713
2009,Gomel,191.848
2009,Grodno,223.346
2009,Minsk,223.602
2009,Mogilev,224.535
2009,Vitebsk,285.721
2010,Brest,195.042
2010,Gomel,189.453
2010,Grodno,192.277
2010,Minsk,168.720
2010,Mogilev,186.766
2010,Vitebsk,185.929
2011,Brest,50.489
2011,Gomel,57.488
2011,Grodno,95.276
2011,Minsk,87.956
2011,Mogilev,77.152
2011,Vitebsk,106.694
2012,Brest,122.422
2012,Gomel,168.886
2012,Grodno,175.387
2012,Minsk,176.317
2012,Mogilev,187.928
2012,Vitebsk,228.149
2013,Brest,185.962
2013,Gomel,184.158
2013,Grodno,191.551
2013,Minsk,175.278
2013,Mogilev,190.631
2013,Vitebsk,188.958
2014,Brest,72.768
2014,Gomel,39.238
2014,Grodno,72.970
2014,Minsk,57.667
2014,Mogilev,44.927
2014,Vitebsk,76.753
2015,Brest,183.766
2015,Gomel,161.065
2015,Grodno,179.336
2015,Minsk,188.503
2015,Mogilev,160.493
2015,Vitebsk,186.767
2016,Brest,186.327
2016,Gomel,186.742
2016,Grodno,186.979
2016,Minsk,186.864
2016,Mogilev,186.453
2016,Vitebsk,186.596
2017,Brest,207.696
2017,Gomel,200.699
2017,Grodno,234.410
2017,Minsk,233.390
2017,Mogilev,229.543
2017,Vitebsk,216.143
2018,Brest,106.620
2018,Gomel,80.624
2018,Grodno,119.451
2018,Minsk,119.583
2018,Mogilev,95.243
2018,Vitebsk,129.585
2019,Brest,105.606
2019,Gomel,91.039
2019,Grodno,126.485
2019,Minsk,139.681
2019,Mogilev,114.826
2019,Vitebsk,164.474
2020,Brest,116.564
2020,Gomel,129.473
2020,Grodno,104.311
2020,Minsk,125.646
2020,Mogilev,157.230
2020,Vitebsk,149.350
